건축물_유형,근저당권_개수,채권최고액,근저당권_설정일_최근,신탁_등기여부,압류_가압류_개수,선순위_채권_존재여부,전입_가능여부,우선변제권_여부,과거_매매가,과거_전세가,과거_전세가율,주소,전세가,매매가,전세가율,위험도
다세대주택,2,285606629,2023-01-28,False,0,True,True,False,422879302,283291651,66.99%,,,,,1
빌라,2,423423282,2023-12-05,False,0,True,True,False,493173865,319503239,64.79%,,,,,1
단독주택,1,400283617,2025-05-09,False,0,True,True,False,1155198272,897859772,77.72%,,,,,1
연립주택,0,0,,False,0,False,True,True,897645518,458541572,51.08%,,,,,0
아파트,0,0,,False,0,False,True,True,731158420,701231375,95.91%,,,,,0
아파트,0,0,,False,0,False,True,True,464618561,468563002,100.85%,,,,,1
다세대주택,1,394320944,2023-12-25,False,0,True,True,False,805258423,598737142,74.35%,,,,,1
아파트,1,117074896,2021-02-18,False,0,True,True,False,459909979,294192797,63.97%,,,,,0
아파트,0,0,,False,1,True,True,False,614795019,472768723,76.9%,,,,,1
아파트,0,0,,False,0,False,True,True,583764507,479824243,82.19%,,,,,0
빌라,2,423166234,2025-04-24,False,1,True,True,False,689480462,607116686,88.05%,,,,,1
오피스텔,2,597522908,2024-05-17,True,0,True,True,False,677089111,488158493,72.1%,,,,,1
아파트,0,0,,False,0,False,True,True,460238697,505182266,109.77%,,,,,1
아파트,0,0,,False,0,False,True,True,367435595,269326835,73.3%,,,,,0
아파트,3,455141916,2023-10-14,False,0,True,True,False,270337013,178418475,66.0%,,,,,1
아파트,2,340891740,2023-04-29,False,0,True,True,False,421617578,356513096,84.56%,,,,,1
오피스텔,1,187018395,2024-02-25,False,0,True,True,False,482099685,283826213,58.87%,,,,,0
오피스텔,0,0,,False,0,False,True,True,521126286,261966804,50.27%,,,,,0
빌라,1,47632934,2024-09-13,False,0,True,True,False,100000000,50575187,50.58%,,,,,0
연립주택,2,321465071,2023-05-27,False,1,True,True,False,591904960,415072731,70.12%,,,,,1
아파트,0,0,,True,0,False,False,False,244301858,248677245,101.79%,,,,,1
아파트,3,267797189,2022-10-31,False,0,True,True,False,343171638,218772916,63.75%,,,,,1
오피스텔,1,252968274,2023-04-13,True,0,True,False,False,800612811,780455954,97.48%,,,,,1
아파트,0,0,,False,0,False,True,True,829348516,521468241,62.88%,,,,,0
빌라,1,683524897,2023-11-09,False,0,True,True,False,1170480362,824962534,70.48%,,,,,1
아파트,0,0,,False,0,False,True,True,781358696,542035422,69.37%,,,,,0
빌라,0,0,,False,0,False,True,True,375766993,390881631,104.02%,,,,,1
오피스텔,1,361183831,2024-09-09,False,0,True,True,False,735295466,717437833,97.57%,,,,,1
빌라,0,0,,False,0,False,False,False,545312790,304165315,55.78%,,,,,0
아파트,1,159157245,2022-06-01,False,0,True,True,False,321944809,178028008,55.3%,,,,,1
오피스텔,1,255615897,2022-05-03,False,0,True,True,False,620186144,336384755,54.24%,,,,,0
아파트,2,474708921,2021-06-29,False,0,True,True,False,473242410,329813397,69.69%,,,,,1
아파트,1,314519929,2021-08-24,False,0,True,True,False,920981922,928099504,100.77%,,,,,1
아파트,3,744842606,2023-02-24,False,0,True,True,False,680475871,495730764,72.85%,,,,,1
오피스텔,1,444065452,2023-02-05,True,0,True,False,False,807555543,552855926,68.46%,,,,,1
아파트,1,235184942,2025-03-09,False,0,True,True,False,665532668,546847166,82.17%,,,,,1
아파트,0,0,,False,0,False,True,True,844124112,431519524,51.12%,,,,,0
빌라,2,229440541,2024-08-26,False,0,True,True,False,392971209,395600137,100.67%,,,,,1
아파트,1,169052416,2024-04-30,False,0,True,True,False,494658176,360858624,72.95%,,,,,1
오피스텔,2,244724379,2024-07-17,False,0,True,True,False,385159775,339308630,88.1%,,,,,1
아파트,0,0,,False,0,False,True,True,638312804,369454090,57.88%,,,,,0
단독주택,2,118440496,2021-11-11,False,0,True,True,False,100000000,62224058,62.22%,,,,,1
단독주택,0,0,,False,0,False,True,True,458592147,307919291,67.14%,,,,,0
아파트,2,358692203,2023-11-06,False,0,True,True,False,673965959,480731067,71.33%,,,,,1
연립주택,1,191060489,2021-02-16,False,0,True,True,False,415903263,290539261,69.86%,,,,,1
오피스텔,1,328207922,2023-07-15,True,0,True,False,False,607980636,443032475,72.87%,,,,,1
오피스텔,3,729382085,2022-09-30,False,0,True,True,False,894363319,448123022,50.11%,,,,,1
아파트,0,0,,True,0,False,False,False,386363070,196669348,50.9%,,,,,1
빌라,0,0,,False,0,False,True,True,537166864,466384878,86.82%,,,,,0
빌라,0,0,,False,1,True,True,False,417638053,351652751,84.2%,,,,,1
오피스텔,0,0,,False,0,False,True,True,1173258415,881989607,75.17%,,,,,0
단독주택,1,294763961,2025-01-24,False,0,True,True,False,640742309,464833026,72.55%,,,,,1
빌라,1,364415110,2024-02-24,False,1,True,True,False,688572832,689446423,100.13%,,,,,1
아파트,0,0,,False,0,False,True,True,100000000,66581175,66.58%,,,,,0
아파트,0,0,,False,1,True,True,False,514907592,316733636,61.51%,,,,,1
아파트,1,109600933,2022-12-31,False,0,True,True,False,258438420,192995960,74.68%,,,,,1
빌라,1,100408615,2022-01-21,True,0,True,False,False,194276245,132509186,68.21%,,,,,1
아파트,1,246880868,2022-03-10,False,0,True,True,False,537340870,572519436,106.55%,,,,,1
아파트,1,161696687,2021-09-07,False,0,True,True,False,560720503,376302277,67.11%,,,,,0
오피스텔,1,92915756,2025-02-25,False,0,True,True,False,317260931,285707008,90.05%,,,,,1
빌라,1,45219955,2021-09-15,False,0,True,True,False,100000000,60120020,60.12%,,,,,1
빌라,0,0,,False,1,True,True,False,100000000,65802281,65.8%,,,,,1
연립주택,0,0,,False,0,False,True,True,547605972,484565877,88.49%,,,,,0
빌라,3,170449899,2025-02-01,False,0,True,True,False,100000000,56705514,56.71%,,,,,1
아파트,0,0,,False,0,False,True,True,494282984,312952614,63.31%,,,,,0
아파트,1,288448766,2021-07-17,False,0,True,True,False,541073691,521495679,96.38%,,,,,1
오피스텔,1,296904251,2021-05-19,False,0,True,True,False,779323957,468433631,60.11%,,,,,0
빌라,1,362065381,2022-11-19,False,0,True,True,False,623676413,319778756,51.27%,,,,,1
아파트,1,117850466,2023-09-15,False,0,True,True,False,284903747,235056298,82.5%,,,,,1
단독주택,2,615743465,2025-07-31,False,0,True,True,False,849898661,809913163,95.3%,,,,,1
빌라,5,411560541,2022-04-09,False,0,True,True,False,137852146,74292324,53.89%,,,,,1
아파트,0,0,,False,0,False,True,True,422433310,371410429,87.92%,,,,,0
다세대주택,0,0,,False,0,False,True,True,477073493,343957283,72.1%,,,,,0
다세대주택,0,0,,False,1,True,True,False,484452245,369966933,76.37%,,,,,1
다가구주택,1,297556445,2025-02-07,False,0,True,True,False,648389180,498123726,76.82%,,,,,1
오피스텔,2,66986274,2022-08-27,False,0,True,True,False,100000000,62304130,62.3%,,,,,1
다세대주택,0,0,,False,0,False,True,True,378218654,314156487,83.06%,,,,,0
오피스텔,0,0,,False,0,False,True,True,253615099,139477349,55.0%,,,,,0
아파트,1,190897770,2024-10-11,False,0,True,False,False,426439373,262034460,61.45%,,,,,1
아파트,0,0,,False,0,False,True,True,451272929,242060813,53.64%,,,,,0
오피스텔,2,536903987,2023-04-03,False,0,True,True,False,586890403,411425819,70.1%,,,,,1
오피스텔,0,0,,False,0,False,True,True,439690985,321450237,73.11%,,,,,0
빌라,1,373589414,2021-05-23,False,0,True,True,False,666175686,378111058,56.76%,,,,,1
단독주택,4,1778206638,2025-01-01,False,1,True,True,False,841718566,691618664,82.17%,,,,,1
오피스텔,0,0,,True,1,True,False,False,590907970,460696233,77.96%,,,,,1
단독주택,0,0,,True,1,True,False,False,372196080,235216701,63.2%,,,,,1
빌라,0,0,,False,0,False,True,True,931885792,918001967,98.51%,,,,,0
빌라,0,0,,True,1,True,False,False,703495215,396709037,56.39%,,,,,1
빌라,1,233619583,2024-03-04,False,0,True,True,False,407597415,290100974,71.17%,,,,,1
빌라,0,0,,False,0,False,True,True,354837924,387915725,109.32%,,,,,1
다세대주택,5,2245037783,2021-03-09,False,0,True,True,False,983788510,1074890417,109.26%,,,,,1
다가구주택,0,0,,False,0,False,True,True,549737036,460978104,83.85%,,,,,0
아파트,3,732873599,2020-12-02,False,0,True,True,False,546177618,293666498,53.77%,,,,,1
아파트,3,921211544,2021-06-14,False,0,True,True,False,646847924,450510006,69.65%,,,,,1
빌라,3,1206362533,2021-02-26,False,1,True,True,False,715409031,756714901,105.77%,,,,,1
오피스텔,2,580438315,2022-07-22,False,0,True,True,False,495145098,340986844,68.87%,,,,,1
단독주택,0,0,,True,0,False,False,False,383672385,279416370,72.83%,,,,,1
아파트,4,895192206,2021-11-05,False,0,True,True,False,775239908,828061043,106.81%,,,,,1
빌라,1,224371579,2021-10-31,True,0,True,False,False,551097257,560220744,101.66%,,,,,1
아파트,1,99964770,2024-10-11,False,0,True,True,False,219126491,166074149,75.79%,,,,,1
아파트,0,0,,False,0,False,True,True,675856979,494684254,73.19%,,,,,0
아파트,3,1239248399,2024-12-12,False,0,True,True,False,710160887,581320710,81.86%,,,,,1
오피스텔,2,484153261,2022-11-04,True,0,True,False,False,890853339,690467242,77.51%,,,,,1
빌라,1,91903544,2021-05-01,False,0,True,True,False,372548326,311953943,83.74%,,,,,1
아파트,2,994132514,2024-01-17,False,0,True,True,False,840028975,901966838,107.37%,,,,,1
빌라,2,314520334,2021-07-23,False,0,True,True,False,487977873,274714771,56.3%,,,,,1
아파트,1,203584124,2021-12-07,False,0,True,True,False,466422814,368792253,79.07%,,,,,1
오피스텔,1,276813452,2025-03-16,False,0,True,True,False,495894275,480756426,96.95%,,,,,1
빌라,1,165063010,2023-08-29,False,0,True,True,False,363285264,286666750,78.91%,,,,,1
아파트,4,2946970695,2022-09-04,False,0,True,True,False,1962836104,2071101639,105.52%,,,,,1
아파트,0,0,,False,0,False,True,True,871811538,773221106,88.69%,,,,,0
아파트,0,0,,False,0,False,True,True,133906279,69016909,51.54%,,,,,0
아파트,0,0,,False,0,False,True,True,629717795,638306914,101.36%,,,,,1
다세대주택,2,483169522,2021-05-14,False,0,True,True,False,641377411,605029967,94.33%,,,,,1
빌라,1,89341895,2021-07-09,False,0,True,True,False,371700908,352193334,94.75%,,,,,1
오피스텔,3,295785582,2021-07-20,False,1,True,True,False,388514071,328078529,84.44%,,,,,1
