건축물_유형,근저당권_개수,채권최고액,근저당권_설정일_최근,신탁_등기여부,압류_가압류_개수,선순위_채권_존재여부,전입_가능여부,우선변제권_여부,주소,전세가,매매가,전세가율,과거_매매가,과거_전세가,과거_전세가율,위험도
아파트,1,146000000,2024-05-28,False,4,True,False,False,경기도 수원시 팔달구 인계동 371-1외 1필지 삼성아파트 제103동 제5층 제502호,,,,258000000.0,250000000.0,96.90%,1
아파트,2,270350000,2022-04-26,False,13,True,False,False,경기도 수원시 영통구 원천동 300-3외 1필지 신미주아파트 제102동 제19층 제1901호,,,,225000000.0,,,1
기타,0,0,,False,11,True,False,False,,,,,,,,1
아파트,0,0,,False,10,True,False,False,경기도 수원시 팔달구 화서동 39-33,,,,,,,1
아파트,0,0,,False,10,True,False,False,경기도 수원시 장안구 천천동 553-1,,,,,,,1
아파트,2,991200000,2017-03-03,False,19,True,False,False,,,,,,,,1
기타,2,678200000,2018-06-25,False,4,True,False,False,,,,,,,,1
아파트,0,0,,False,3,True,False,False,경기도 안산시 상록구 사동 1383-1 제2층 제202호,,,,140000000.0,160000000.0,114.29%,1
아파트,0,0,,False,1,True,False,False,경기도 안산시 상록구 사동 1408 제5층 제502호,,,,170000000.0,170000000.0,100.00%,1
아파트,0,0,,False,16,True,False,False,경기도 안산시 상록구 사동 1414-9 제4층 제402호,,,,133000000.0,133000000.0,100.00%,1
빌라,0,0,,False,13,True,False,False,경기도 안산시 상록구 본오동 957-3 금정쉐르빌 제3층 제301호,,,,180000000.0,180000000.0,100.00%,1
아파트,0,0,,False,10,True,False,False,경기도 안산시 상록구 본오동 847-6 두전빌 제4층 제402호,,,,189000000.0,189000000.0,100.00%,1
아파트,1,129600000,2014-03-13,False,44,True,False,False,경기도 안산시 상록구 본오동 948-7 제2층 제201호,,,,,145000000.0,,1
다세대주택,0,0,,False,3,True,False,False,경기도 안산시 상록구 사동 1406-3 태영하이츠 제5층 제502호,,,,167000000.0,167000000.0,100.00%,1
아파트,0,0,,False,10,True,False,False,경기도 안산시 상록구 본오동 833 제1층 제103호,,,,100000000.0,100000000.0,100.00%,1
빌라,0,0,,False,3,True,False,False,경기도 안산시 상록구 사동 1415-21 수정그린빌 제4층 제402호,,,,180000000.0,180000000.0,100.00%,1
다세대주택,0,0,,False,9,True,False,False,경기도 안산시 상록구 본오동 946-1 유앤캐슬 제3층 제302호,,,,168000000.0,168000000.0,100.00%,1
기타,0,0,,False,1,True,False,False,경기도 안산시 상록구 본오동 853-6 제2층 제204호,,,,,126000000.0,,1
아파트,0,0,,False,1,True,False,False,경기도 안산시 상록구 사동 1397-12 샤인빌리지 제에이동 제5층 제501호,,,,130000000.0,130000000.0,100.00%,1
빌라,0,0,,False,18,True,False,False,경기도 안산시 상록구 본오동 675-10 제3층 제401호,,,,,120000000.0,,1
